model,model_dir,mode,samples,accuracy,f1_macro,precision_macro,recall_macro,time_total_sec,time_avg_sec,confusion_matrix_path_csv,confusion_matrix_path_png,predictions_path,label,precision_label,recall_label,f1_label,support_label
text_description_image,/home/amandazirpolo/DIMEMEX/FT_image_text_description/SmolVLM_DIMEMEX_20251127_191312 ***,text_description_image,648,0.1882716049382716,0.1811508147344226,0.3401757006686584,0.31476545842217485,161.93159914016724,0.24989444311754203,resultados_inferencia_smolvlm/matrix_confusion_text_description_image_text_description_image.csv,resultados_inferencia_smolvlm/matrix_confusion_text_description_image_text_description_image.png,resultados_inferencia_smolvlm/predicoes_text_description_image_text_description_image.csv,neither,0.17370892018779344,0.6607142857142857,0.275092936802974,112.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text,648,0.22839506172839505,0.1635097744607831,0.29074247630948663,0.341714048803601,25.91798424720764,0.03999688927038216,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text.csv,hate speech,0.696969696969697,0.11442786069651742,0.19658119658119658,402.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text,648,0.22839506172839505,0.1635097744607831,0.29074247630948663,0.341714048803601,25.91798424720764,0.03999688927038216,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text.csv,inappropriate content,0.0,0.0,0.0,134.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text,648,0.22839506172839505,0.1635097744607831,0.29074247630948663,0.341714048803601,25.91798424720764,0.03999688927038216,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text.csv,neither,0.17525773195876287,0.9107142857142857,0.29394812680115273,112.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,image,648,0.18364197530864199,0.12370265590188162,0.3360042735042735,0.33767176024638706,156.3447403907776,0.24127274751663208,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_image.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_image.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_image.csv,hate speech,0.5833333333333334,0.017412935323383085,0.033816425120772944,402.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,image,648,0.18364197530864199,0.12370265590188162,0.3360042735042735,0.33767176024638706,156.3447403907776,0.24127274751663208,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_image.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_image.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_image.csv,inappropriate content,0.25,0.022388059701492536,0.0410958904109589,134.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,image,648,0.18364197530864199,0.12370265590188162,0.3360042735042735,0.33767176024638706,156.3447403907776,0.24127274751663208,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_image.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_image.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_image.csv,neither,0.17467948717948717,0.9732142857142857,0.296195652173913,112.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text_description,648,0.26851851851851855,0.20002568260481338,0.27209938488974866,0.3439498933901919,26.205875635147095,0.04044116610362206,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text_description.csv,hate speech,0.6377952755905512,0.20149253731343283,0.30623818525519847,402.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text_description,648,0.26851851851851855,0.20002568260481338,0.27209938488974866,0.3439498933901919,26.205875635147095,0.04044116610362206,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text_description.csv,inappropriate content,0.0,0.0,0.0,134.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text_description,648,0.26851851851851855,0.20002568260481338,0.27209938488974866,0.3439498933901919,26.205875635147095,0.04044116610362206,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text_description.csv,neither,0.1785028790786948,0.8303571428571429,0.2938388625592417,112.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text_description_image,648,0.1743827160493827,0.10041152263374485,0.16908212560386474,0.33416252072968494,160.423748254776,0.24756751273885186,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description_image.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description_image.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text_description_image.csv,hate speech,0.3333333333333333,0.0024875621890547263,0.0049382716049382715,402.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text_description_image,648,0.1743827160493827,0.10041152263374485,0.16908212560386474,0.33416252072968494,160.423748254776,0.24756751273885186,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description_image.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description_image.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text_description_image.csv,inappropriate content,0.0,0.0,0.0,134.0
BASE_MODEL,HuggingFaceTB/SmolVLM-256M-Instruct,text_description_image,648,0.1743827160493827,0.10041152263374485,0.16908212560386474,0.33416252072968494,160.423748254776,0.24756751273885186,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description_image.csv,resultados_inferencia_smolvlm/matrix_confusion_BASE_MODEL_text_description_image.png,resultados_inferencia_smolvlm/predicoes_BASE_MODEL_text_description_image.csv,neither,0.17391304347826086,1.0,0.2962962962962963,112.0
