dataset,elemento,bertscore_media,bertscore_desvio,bleurt_media,bleurt_desvio,cometkiwi_media,cometkiwi_desvio,chrf_media,chrf_desvio
train,text,0.918,0.03,0.175,0.265,0.685,0.148,33.343,16.762
train,description,0.958,0.007,-0.057,0.093,0.814,0.049,47.899,4.409
test,text,0.92,0.027,0.17,0.268,0.689,0.152,34.423,15.635
test,description,0.958,0.006,-0.055,0.095,0.816,0.047,48.098,4.282
validation,text,0.921,0.029,0.181,0.255,0.691,0.147,34.896,16.654
validation,description,0.958,0.006,-0.049,0.091,0.817,0.047,48.263,4.094
